"SABER_FULL","SABER_SHORT","","PI · Helena Nito del Bosque","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de la navegació web en mode incògnit quan la cerca ho requereixi en base als criteris de protecció de dades.","Utilització de la navegació web en mode incògnit quan la cerca ho requereixi en base als.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de les estructures de programació comunes a la majoria de llenguatges (constants, variables, operadors, condicionals, repeticions i esdeveniments) en llenguatges per blocs i en llenguatges textuals.","Utilització de les estructures de programació comunes a la majoria de llenguatges en llenguatges per blocs.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de les funcionalitats de seguiment de la col·laboració en digital en l'ús d'aplicacions que no s'han utilitzat anteriorment.","Utilització de les funcionalitats de seguiment de la col·laboració en digital en l'ús d'aplicacions que no.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de les funcions dels fulls de càlcul per generar gràfics senzills (diagrames de barres, diagrames de sectors...)","Utilització de les funcions dels fulls de càlcul per generar gràfics senzills.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització de plaques d'extensió per a plaques programables en les solucions tecnològiques proposades.","Utilització de plaques d'extensió per a plaques programables en les solucions tecnològiques proposades.","","","","","","","","","","","","","","","","","","","","","","","",""
"Utilització dels sensors integrats i externs de plaques programables educatives.","Utilització dels sensors integrats i externs de plaques programables educatives.","","","","","","","","","","","","","","","","","","","","","","","",""
"Valoració de les implicacions de compartir opinions, informacions i/o material audiovisual propies o de tercers (amb o sense consentiment).","Valoració de les implicacions de compartir opinions, informacions i/o material audiovisual propies o de tercers .","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús d'estratègies de cerca avançada (ús d'opcions de cerca contextual dels navegadors i operadors lògics: ús de cometes, -and, not/-, or-...).","Ús d'estratègies de cerca avançada .","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús d'indicacions eficients en els xatbots per a la cerca d'informació.","Ús d'indicacions eficients en els xatbots per a la cerca d'informació.","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús de criteris de verificació en la cerca d'informació (contrast de la informació, verificació de la font en aquells xatbots en què ho indiqui).","Ús de criteris de verificació en la cerca d'informació .","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús de criteris de verificació en la cerca d'informació.","Ús de criteris de verificació en la cerca d'informació.","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús de dreceres de teclat avançades per seleccionar tot el text, enganxar sense format, negreta (dreceres subjectes a programari).","Ús de dreceres de teclat avançades per seleccionar tot el text, enganxar sense format, negreta .","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús de la connectivitat wifi de robots educatius i plaques programables en les solucions tecnològiques proposades.","Ús de la connectivitat wifi de robots educatius i plaques programables en les solucions tecnològiques proposades.","","","","","","","","","","","","","","","","","","","","","","","",""
"Ús de llicències de programari de forma legal i respectuosa. 
Identificació i valoració dels principis de la propietat intel·lectual i drets d'autor.","Ús de llicències de programari de forma legal i respectuosa. Identificació i valoració dels principis de.","","","","","","","","","","","","","","","","","","","","","","","",""
